"stateFlagCode","state","CostOfLivingIndexByState_2025","CostOfLivingIndexByState_2024","CostOfLivingIndexByState_2023"
,"Hawaii",185,186.9,179
,"California",142.3,144.8,134.5
,"Massachusetts",141.2,145.9,148.4
,"District of Columbia",138.8,141.9,148.7
,"New York",125.1,123.3,125.1
,"Alaska",124.9,123.8,124.4
,"Maryland",115.4,115.3,119.5
,"New Jersey",115.1,114.6,114.1
,"Washington",114.1,114.2,115.1
,"Vermont",113.6,114.4,114.9
,"Maine",113,112.1,111.5
,"Connecticut",112.7,112.3,113.1
,"Oregon",111.8,112,115.1
,"New Hampshire",111.4,112.6,115
,"Arizona",110.7,111.5,107.2
,"Rhode Island",110.6,112.2,110.5
,"Colorado",102.7,102,105.5
,"Florida",102.2,102.8,102.3
,"Utah",102.2,104.9,101.5
,"Delaware",101.9,100.8,102.6
,"Virginia",100.8,100.7,103.1
,"Nevada",100.2,101.3,101.3
,"Idaho",99.9,102,106.1
,"North Carolina",97.8,97.8,96.1
,"Wisconsin",97.7,97,95
,"Pennsylvania",97.2,95.1,99
,"Montana",95.5,94.9,103.7
,"Illinois",94.7,94.4,90.8
,"South Carolina",94.7,95.9,96.5
,"Minnesota",94.6,95.1,94.1
,"Ohio",94.3,94.2,94
,"New Mexico",93.7,93.3,94.2
,"Wyoming",93.7,95.5,92.8
,"Nebraska",92.6,93.1,90.1
,"Georgia",92.5,91.3,91
,"Kentucky",92.5,93,93.8
,"Louisiana",92.3,92.2,92
,"Texas",92.1,92.7,93
,"South Dakota",91.9,92.2,93.8
,"North Dakota",91.4,91.9,94.6
,"Indiana",91,90.5,91.5
,"Tennessee",90.3,90.5,90.4
,"Michigan",90.1,90.4,92.7
,"Iowa",89.7,89.7,89.7
,"Arkansas",89.6,88.7,90.3
,"Missouri",89,88.7,88.4
,"Kansas",88.8,87,87.7
,"Alabama",88.6,88,88.8
,"West Virginia",88.3,84.1,90.3
,"Mississippi",87.3,87.9,85.3
,"Oklahoma",86,85.7,86
,"United States",103.40196078431374,103.59019607843136,104.00196078431371
