location_id,city,state_province,factory_name,coli_index
1,San Francisco,California,Wicked Choccy's,142.3
2,San Francisco,California,Lot's O' Nuts,142.3
3,New York City,New York,Lot's O' Nuts,125.1
4,New York City,New York,Wicked Choccy's,125.1
5,Round Rock,Texas,Lot's O' Nuts,92.1
6,Round Rock,Texas,Wicked Choccy's,92.1
7,Minneapolis,Minnesota,Lot's O' Nuts,94.6
8,Los Angeles,California,Wicked Choccy's,142.3
9,Rancho Cucamonga,California,Wicked Choccy's,142.3
10,Omaha,Nebraska,Wicked Choccy's,92.6
11,Omaha,Nebraska,Lot's O' Nuts,92.6
12,Salem,Oregon,Lot's O' Nuts,111.8
13,Lebanon,Tennessee,Lot's O' Nuts,90.3
14,Mesa,Arizona,Wicked Choccy's,110.7
15,Atlanta,Georgia,Lot's O' Nuts,92.5
16,Providence,Rhode Island,Wicked Choccy's,110.6
17,Middletown,Connecticut,Wicked Choccy's,112.7
18,Springfield,Missouri,Wicked Choccy's,89.0
19,Springfield,Missouri,Lot's O' Nuts,89.0
20,Detroit,Michigan,Lot's O' Nuts,90.1
21,Detroit,Michigan,Wicked Choccy's,90.1
22,Concord,North Carolina,Wicked Choccy's,97.8
23,Chester,Pennsylvania,Lot's O' Nuts,97.2
24,Chester,Pennsylvania,Wicked Choccy's,97.2
25,Lowell,Massachusetts,Lot's O' Nuts,141.2
26,Lowell,Massachusetts,Wicked Choccy's,141.2
27,Oklahoma City,Oklahoma,Lot's O' Nuts,86.0
28,Georgetown,Kentucky,Wicked Choccy's,92.5
29,Georgetown,Kentucky,Lot's O' Nuts,92.5
30,San Diego,California,Lot's O' Nuts,142.3
31,Arlington,Texas,Lot's O' Nuts,92.1
32,Seattle,Washington,Lot's O' Nuts,114.1
33,Oklahoma City,Oklahoma,Wicked Choccy's,86.0
34,Des Moines,Washington,Wicked Choccy's,114.1
35,Waynesboro,Virginia,Wicked Choccy's,100.8
36,Waynesboro,Virginia,Lot's O' Nuts,100.8
37,Concord,New Hampshire,Lot's O' Nuts,111.4
38,Los Angeles,California,Lot's O' Nuts,142.3
39,Philadelphia,Pennsylvania,Lot's O' Nuts,97.2
40,Greenwood,Indiana,Secret Factory,91.0
41,Greenwood,Indiana,Wicked Choccy's,91.0
42,Seattle,Washington,Wicked Choccy's,114.1
43,Indianapolis,Indiana,Lot's O' Nuts,91.0
44,Houston,Texas,Lot's O' Nuts,92.1
45,Houston,Texas,Wicked Choccy's,92.1
46,Phoenix,Arizona,Lot's O' Nuts,110.7
47,Portland,Oregon,Lot's O' Nuts,111.8
48,Pearland,Texas,Lot's O' Nuts,92.1
49,Bloomington,Illinois,Wicked Choccy's,94.7
50,Phoenix,Arizona,Wicked Choccy's,110.7
51,Henderson,Kentucky,Wicked Choccy's,92.5
52,Yonkers,New York,Wicked Choccy's,125.1
53,Yonkers,New York,Lot's O' Nuts,125.1
54,Tulsa,Oklahoma,Lot's O' Nuts,86.0
55,Dallas,Texas,Wicked Choccy's,92.1
56,Long Beach,New York,Lot's O' Nuts,125.1
57,Carrollton,Texas,Lot's O' Nuts,92.1
58,Decatur,Illinois,Lot's O' Nuts,94.7
59,Louisville,Colorado,Wicked Choccy's,102.7
60,Lakewood,California,Lot's O' Nuts,142.3
61,Toledo,Ohio,Lot's O' Nuts,94.3
62,Lebanon,Tennessee,Wicked Choccy's,90.3
63,Bellevue,Washington,Wicked Choccy's,114.1
64,Bellevue,Washington,Lot's O' Nuts,114.1
65,Philadelphia,Pennsylvania,Wicked Choccy's,97.2
66,Plano,Texas,Sugar Shack,92.1
67,Jackson,Mississippi,Wicked Choccy's,87.3
68,Lorain,Ohio,Lot's O' Nuts,94.3
69,Carlsbad,New Mexico,Wicked Choccy's,93.7
70,Carlsbad,New Mexico,Lot's O' Nuts,93.7
71,Chicago,Illinois,Lot's O' Nuts,94.7
72,Jacksonville,North Carolina,Lot's O' Nuts,97.8
73,Tucson,Arizona,Wicked Choccy's,110.7
74,Tucson,Arizona,Lot's O' Nuts,110.7
75,Avondale,Arizona,Lot's O' Nuts,110.7
76,Tampa,Florida,Wicked Choccy's,102.2
77,Pembroke Pines,Florida,Lot's O' Nuts,102.2
78,Pembroke Pines,Florida,Wicked Choccy's,102.2
79,Lafayette,Louisiana,Lot's O' Nuts,92.3
80,Beaumont,Texas,Wicked Choccy's,92.1
81,Rochester,New York,Lot's O' Nuts,125.1
82,Parma,Ohio,Lot's O' Nuts,94.3
83,Lawrence,Indiana,Wicked Choccy's,91.0
84,Huntsville,Texas,Wicked Choccy's,92.1
85,Great Falls,Montana,Lot's O' Nuts,95.5
86,Great Falls,Montana,Wicked Choccy's,95.5
87,Fairfield,Connecticut,Lot's O' Nuts,112.7
88,San Clemente,California,Lot's O' Nuts,142.3
89,Passaic,New Jersey,Wicked Choccy's,115.1
90,Passaic,New Jersey,Lot's O' Nuts,115.1
91,Chicago,Illinois,Wicked Choccy's,94.7
92,Homestead,Florida,Wicked Choccy's,102.2
93,Homestead,Florida,Lot's O' Nuts,102.2
94,College Station,Texas,Wicked Choccy's,92.1
95,Fairfield,Ohio,Wicked Choccy's,94.3
96,Louisville,Kentucky,Wicked Choccy's,92.5
97,Toledo,Ohio,Wicked Choccy's,94.3
98,West Jordan,Utah,Lot's O' Nuts,102.2
99,Lawrence,Massachusetts,Lot's O' Nuts,141.2
100,Las Vegas,Nevada,Wicked Choccy's,100.2
101,Franklin,Massachusetts,Secret Factory,141.2
102,Tulsa,Oklahoma,Wicked Choccy's,86.0
103,Stockton,California,Wicked Choccy's,142.3
104,Stockton,California,Lot's O' Nuts,142.3
105,Charlotte,North Carolina,Lot's O' Nuts,97.8
106,Mesa,Arizona,Lot's O' Nuts,110.7
107,Arlington,Virginia,Lot's O' Nuts,100.8
108,Arlington,Virginia,Wicked Choccy's,100.8
109,Cincinnati,Ohio,Wicked Choccy's,94.3
110,Knoxville,Tennessee,Lot's O' Nuts,90.3
111,Alexandria,Virginia,Wicked Choccy's,100.8
112,Saint Petersburg,Florida,Wicked Choccy's,102.2
113,Saint Petersburg,Florida,Lot's O' Nuts,102.2
114,Saint Petersburg,Florida,Secret Factory,102.2
115,Peoria,Arizona,Wicked Choccy's,110.7
116,Peoria,Arizona,Lot's O' Nuts,110.7
117,Detroit,Michigan,Secret Factory,90.1
118,Philadelphia,Pennsylvania,Secret Factory,97.2
119,Houston,Texas,Secret Factory,92.1
120,Richmond,Virginia,Wicked Choccy's,100.8
121,Allen,Texas,Wicked Choccy's,92.1
122,Salem,Virginia,Wicked Choccy's,100.8
123,Jacksonville,North Carolina,Wicked Choccy's,97.8
124,Milwaukee,Wisconsin,Lot's O' Nuts,97.7
125,Columbus,Georgia,Lot's O' Nuts,92.5
126,Hampton,Virginia,Wicked Choccy's,100.8
127,Lawrence,Indiana,Lot's O' Nuts,91.0
128,San Diego,California,Wicked Choccy's,142.3
129,Waterbury,Connecticut,Lot's O' Nuts,112.7
130,Eau Claire,Wisconsin,Lot's O' Nuts,97.7
131,Coral Springs,Florida,Lot's O' Nuts,102.2
132,Dallas,Texas,Lot's O' Nuts,92.1
133,Troy,New York,Lot's O' Nuts,125.1
134,Troy,New York,The Other Factory,125.1
135,Los Angeles,California,Secret Factory,142.3
136,Gulfport,Mississippi,Wicked Choccy's,87.3
137,Huntington Beach,California,Lot's O' Nuts,142.3
138,Columbus,Ohio,Lot's O' Nuts,94.3
139,Henderson,Nevada,The Other Factory,100.2
140,Knoxville,Tennessee,Wicked Choccy's,90.3
141,Cranston,Rhode Island,Lot's O' Nuts,110.6
142,Cranston,Rhode Island,Wicked Choccy's,110.6
143,Aurora,Illinois,Lot's O' Nuts,94.7
144,Salem,Oregon,Wicked Choccy's,111.8
145,Salem,Oregon,Secret Factory,111.8
146,Houston,Texas,The Other Factory,92.1
147,Louisville,Kentucky,Lot's O' Nuts,92.5
148,Bethlehem,Pennsylvania,Lot's O' Nuts,97.2
149,Tamarac,Florida,Lot's O' Nuts,102.2
150,Brentwood,California,Wicked Choccy's,142.3
151,Nashville,Tennessee,Lot's O' Nuts,90.3
152,Anaheim,California,Lot's O' Nuts,142.3
153,Anaheim,California,Wicked Choccy's,142.3
154,Bartlett,Tennessee,Wicked Choccy's,90.3
155,Decatur,Alabama,Wicked Choccy's,88.6
156,Miami,Florida,Lot's O' Nuts,102.2
157,Virginia Beach,Virginia,Lot's O' Nuts,100.8
158,Roswell,Georgia,Lot's O' Nuts,92.5
159,Plantation,Florida,Lot's O' Nuts,102.2
160,Plantation,Florida,Wicked Choccy's,102.2
161,Los Angeles,California,The Other Factory,142.3
162,Springfield,Virginia,Lot's O' Nuts,100.8
163,Springfield,Virginia,Wicked Choccy's,100.8
164,Coral Gables,Florida,Wicked Choccy's,102.2
165,Coral Gables,Florida,Lot's O' Nuts,102.2
166,Kent,Washington,Wicked Choccy's,114.1
167,Brentwood,California,Lot's O' Nuts,142.3
168,Roseville,California,Lot's O' Nuts,142.3
169,Glendale,Arizona,Lot's O' Nuts,110.7
170,Chesapeake,Virginia,Lot's O' Nuts,100.8
171,Springfield,Virginia,Secret Factory,100.8
172,Lorain,Ohio,Wicked Choccy's,94.3
173,Beverly,Massachusetts,Wicked Choccy's,141.2
174,Beverly,Massachusetts,Lot's O' Nuts,141.2
175,Palm Coast,Florida,Wicked Choccy's,102.2
176,Baltimore,Maryland,Lot's O' Nuts,115.4
177,Baltimore,Maryland,Wicked Choccy's,115.4
178,Scottsdale,Arizona,Wicked Choccy's,110.7
179,Jacksonville,Florida,Secret Factory,102.2
180,Jacksonville,Florida,Lot's O' Nuts,102.2
181,Apple Valley,California,Wicked Choccy's,142.3
182,Apple Valley,California,Lot's O' Nuts,142.3
183,Apple Valley,California,Secret Factory,142.3
184,Wilmington,North Carolina,Lot's O' Nuts,97.8
185,Taylor,Michigan,Lot's O' Nuts,90.1
186,Chandler,Arizona,Wicked Choccy's,110.7
187,Rochester,New York,Wicked Choccy's,125.1
188,Omaha,Nebraska,Secret Factory,92.6
189,Grand Prairie,Texas,Wicked Choccy's,92.1
190,Cleveland,Ohio,Wicked Choccy's,94.3
191,Las Vegas,Nevada,Lot's O' Nuts,100.2
192,Auburn,Alabama,Wicked Choccy's,88.6
193,Auburn,Alabama,Lot's O' Nuts,88.6
194,Des Plaines,Illinois,Lot's O' Nuts,94.7
195,Salem,Virginia,Lot's O' Nuts,100.8
196,Frisco,Texas,Sugar Shack,92.1
197,Florence,Alabama,Wicked Choccy's,88.6
198,Malden,Massachusetts,Lot's O' Nuts,141.2
199,Malden,Massachusetts,Wicked Choccy's,141.2
200,Fort Lauderdale,Florida,Wicked Choccy's,102.2
201,Fort Lauderdale,Florida,Lot's O' Nuts,102.2
202,Denver,Colorado,Lot's O' Nuts,102.7
203,Denver,Colorado,Wicked Choccy's,102.7
204,Rock Hill,South Carolina,Wicked Choccy's,94.7
205,Columbus,Georgia,Wicked Choccy's,92.5
206,Henderson,Kentucky,Lot's O' Nuts,92.5
207,Palm Coast,Florida,Lot's O' Nuts,102.2
208,Fort Collins,Colorado,Lot's O' Nuts,102.7
209,Austin,Texas,Wicked Choccy's,92.1
210,Lawrence,Massachusetts,Wicked Choccy's,141.2
211,Hattiesburg,Mississippi,Wicked Choccy's,87.3
212,Trenton,Michigan,Lot's O' Nuts,90.1
213,Franklin,Massachusetts,Lot's O' Nuts,141.2
214,Woonsocket,Rhode Island,Wicked Choccy's,110.6
215,Quincy,Massachusetts,Lot's O' Nuts,141.2
216,Jackson,Michigan,Lot's O' Nuts,90.1
217,Jackson,Michigan,Wicked Choccy's,90.1
218,Austin,Texas,Lot's O' Nuts,92.1
219,Vancouver,Washington,Wicked Choccy's,114.1
220,Vancouver,Washington,Lot's O' Nuts,114.1
221,Vancouver,Washington,Secret Factory,114.1
222,New York City,New York,The Other Factory,125.1
223,Concord,California,Lot's O' Nuts,142.3
224,New York City,New York,Secret Factory,125.1
225,Redmond,Oregon,Lot's O' Nuts,111.8
226,Pasadena,California,Lot's O' Nuts,142.3
227,Irving,Texas,Wicked Choccy's,92.1
228,Irving,Texas,Lot's O' Nuts,92.1
229,Charlottesville,Virginia,Wicked Choccy's,100.8
230,Auburn,Washington,Lot's O' Nuts,114.1
231,Montgomery,Alabama,Wicked Choccy's,88.6
232,Montgomery,Alabama,Secret Factory,88.6
233,Longmont,Colorado,Lot's O' Nuts,102.7
234,Provo,Utah,Wicked Choccy's,102.2
235,Provo,Utah,Lot's O' Nuts,102.2
236,San Francisco,California,The Other Factory,142.3
237,Tampa,Florida,Lot's O' Nuts,102.2
238,Redondo Beach,California,Lot's O' Nuts,142.3
239,Cleveland,Ohio,Lot's O' Nuts,94.3
240,Noblesville,Indiana,Secret Factory,91.0
241,Palatine,Illinois,Wicked Choccy's,94.7
242,Boynton Beach,Florida,Lot's O' Nuts,102.2
243,Boynton Beach,Florida,Wicked Choccy's,102.2
244,Pasadena,Texas,Wicked Choccy's,92.1
245,Pasadena,Texas,Secret Factory,92.1
246,Akron,Ohio,Wicked Choccy's,94.3
247,Meriden,Connecticut,Lot's O' Nuts,112.7
248,Bristol,Connecticut,Wicked Choccy's,112.7
249,Bristol,Connecticut,Lot's O' Nuts,112.7
250,Morristown,New Jersey,Wicked Choccy's,115.1
251,Morristown,New Jersey,Lot's O' Nuts,115.1
252,Farmington,New Mexico,Wicked Choccy's,93.7
253,Allen,Texas,Lot's O' Nuts,92.1
254,Bakersfield,California,Lot's O' Nuts,142.3
255,Aurora,Illinois,Wicked Choccy's,94.7
256,Helena,Montana,Lot's O' Nuts,95.5
257,Minneapolis,Minnesota,Wicked Choccy's,94.6
258,Oceanside,California,Lot's O' Nuts,142.3
259,Oceanside,California,Wicked Choccy's,142.3
260,Wheeling,Illinois,Wicked Choccy's,94.7
261,San Antonio,Texas,Lot's O' Nuts,92.1
262,Sierra Vista,Arizona,Lot's O' Nuts,110.7
263,Inglewood,California,Lot's O' Nuts,142.3
264,Inglewood,California,Wicked Choccy's,142.3
265,Saint Charles,Missouri,Lot's O' Nuts,89.0
266,Fort Worth,Texas,Lot's O' Nuts,92.1
267,Fort Worth,Texas,Wicked Choccy's,92.1
268,Vineland,New Jersey,Lot's O' Nuts,115.1
269,Vineland,New Jersey,Wicked Choccy's,115.1
270,Columbia,Maryland,Wicked Choccy's,115.4
271,Columbia,Maryland,Lot's O' Nuts,115.4
272,Oakland,California,Lot's O' Nuts,142.3
273,El Cajon,California,Lot's O' Nuts,142.3
274,Odessa,Texas,Wicked Choccy's,92.1
275,Laguna Niguel,California,Lot's O' Nuts,142.3
276,Woodland,California,Wicked Choccy's,142.3
277,Providence,Rhode Island,Lot's O' Nuts,110.6
278,Green Bay,Wisconsin,Lot's O' Nuts,97.7
279,Newport News,Virginia,Lot's O' Nuts,100.8
280,Richmond,Virginia,Lot's O' Nuts,100.8
281,Springfield,Virginia,The Other Factory,100.8
282,Fresno,California,Lot's O' Nuts,142.3
283,Fresno,California,Wicked Choccy's,142.3
284,Monroe,Louisiana,Lot's O' Nuts,92.3
285,Monroe,Louisiana,Wicked Choccy's,92.3
286,Lancaster,Pennsylvania,Lot's O' Nuts,97.2
287,Wilmington,North Carolina,Wicked Choccy's,97.8
288,Lawton,Oklahoma,Wicked Choccy's,86.0
289,Bowling Green,Kentucky,Wicked Choccy's,92.5
290,Richmond,Kentucky,Wicked Choccy's,92.5
291,Richmond,Kentucky,Lot's O' Nuts,92.5
292,Newark,Ohio,Lot's O' Nuts,94.3
293,Lafayette,Louisiana,Wicked Choccy's,92.3
294,Edmonds,Washington,Wicked Choccy's,114.1
295,Edmonds,Washington,Lot's O' Nuts,114.1
296,Rome,New York,Lot's O' Nuts,125.1
297,Rome,New York,Wicked Choccy's,125.1
298,Jackson,Michigan,Secret Factory,90.1
299,Lancaster,Ohio,Lot's O' Nuts,94.3
300,Appleton,Wisconsin,Wicked Choccy's,97.7
301,Concord,California,Wicked Choccy's,142.3
302,Miami,Florida,Wicked Choccy's,102.2
303,Des Moines,Iowa,Lot's O' Nuts,89.7
304,Olathe,Kansas,Lot's O' Nuts,88.8
305,Charlotte,North Carolina,Wicked Choccy's,97.8
306,Fayetteville,North Carolina,Lot's O' Nuts,97.8
307,Columbus,Indiana,Wicked Choccy's,91.0
308,Columbus,Indiana,Lot's O' Nuts,91.0
309,Philadelphia,Pennsylvania,The Other Factory,97.2
310,Aurora,Colorado,Wicked Choccy's,102.7
311,Pasadena,Texas,Lot's O' Nuts,92.1
312,Pasadena,California,Wicked Choccy's,142.3
313,Jacksonville,Florida,Wicked Choccy's,102.2
314,Arlington,Texas,Wicked Choccy's,92.1
315,Arlington,Texas,Secret Factory,92.1
316,Modesto,California,Lot's O' Nuts,142.3
317,Montgomery,Alabama,Lot's O' Nuts,88.6
318,Raleigh,North Carolina,Lot's O' Nuts,97.8
319,Raleigh,North Carolina,Wicked Choccy's,97.8
320,Sacramento,California,Lot's O' Nuts,142.3
321,Albuquerque,New Mexico,Wicked Choccy's,93.7
322,Albuquerque,New Mexico,Lot's O' Nuts,93.7
323,Memphis,Tennessee,Wicked Choccy's,90.3
324,Nashville,Tennessee,Wicked Choccy's,90.3
325,The Colony,Texas,Lot's O' Nuts,92.1
326,Greensboro,North Carolina,Wicked Choccy's,97.8
327,Watertown,New York,Wicked Choccy's,125.1
328,Cincinnati,Ohio,Lot's O' Nuts,94.3
329,Woodstock,Illinois,Lot's O' Nuts,94.7
330,Garden City,Kansas,Wicked Choccy's,88.8
331,Delray Beach,Florida,Wicked Choccy's,102.2
332,Garden City,Kansas,Lot's O' Nuts,88.8
333,Hialeah,Florida,Lot's O' Nuts,102.2
334,Newark,Delaware,Wicked Choccy's,101.9
335,Johnson City,Tennessee,Wicked Choccy's,90.3
336,Johnson City,Tennessee,Lot's O' Nuts,90.3
337,San Bernardino,California,Wicked Choccy's,142.3
338,San Bernardino,California,Lot's O' Nuts,142.3
339,Santa Ana,California,Lot's O' Nuts,142.3
340,San Antonio,Texas,Wicked Choccy's,92.1
341,Des Moines,Washington,Lot's O' Nuts,114.1
342,Santa Barbara,California,Lot's O' Nuts,142.3
343,Gaithersburg,Maryland,Wicked Choccy's,115.4
344,Gaithersburg,Maryland,Secret Factory,115.4
345,Montebello,California,Wicked Choccy's,142.3
346,Ann Arbor,Michigan,Lot's O' Nuts,90.1
347,Ann Arbor,Michigan,Wicked Choccy's,90.1
348,Columbus,Indiana,Secret Factory,91.0
349,Columbia,Maryland,Secret Factory,115.4
350,Elyria,Ohio,Wicked Choccy's,94.3
351,Milwaukee,Wisconsin,Wicked Choccy's,97.7
352,Buffalo Grove,Illinois,Wicked Choccy's,94.7
353,Deltona,Florida,Lot's O' Nuts,102.2
354,Columbus,Ohio,Wicked Choccy's,94.3
355,Harrisonburg,Virginia,Wicked Choccy's,100.8
356,Cary,North Carolina,Lot's O' Nuts,97.8
357,Cary,North Carolina,Wicked Choccy's,97.8
358,Chicago,Illinois,Secret Factory,94.7
359,Lakeville,Minnesota,Wicked Choccy's,94.6
360,Lakeville,Minnesota,Lot's O' Nuts,94.6
361,Broken Arrow,Oklahoma,Lot's O' Nuts,86.0
362,Broken Arrow,Oklahoma,Wicked Choccy's,86.0
363,San Diego,California,Secret Factory,142.3
364,Roseville,Minnesota,Lot's O' Nuts,94.6
365,Plainfield,New Jersey,Lot's O' Nuts,115.1
366,Plainfield,New Jersey,The Other Factory,115.1
367,Peoria,Illinois,Lot's O' Nuts,94.7
368,Oxnard,California,Lot's O' Nuts,142.3
369,Oxnard,California,Wicked Choccy's,142.3
370,Louisville,Colorado,Lot's O' Nuts,102.7
371,El Paso,Texas,Wicked Choccy's,92.1
372,Paterson,New Jersey,Wicked Choccy's,115.1
373,Paterson,New Jersey,Lot's O' Nuts,115.1
374,Coral Springs,Florida,Wicked Choccy's,102.2
375,Arvada,Colorado,Lot's O' Nuts,102.7
376,Arvada,Colorado,Wicked Choccy's,102.7
377,Seattle,Washington,Secret Factory,114.1
378,Troy,Ohio,Lot's O' Nuts,94.3
379,Spokane,Washington,Wicked Choccy's,114.1
380,Evanston,Illinois,Lot's O' Nuts,94.7
381,Decatur,Illinois,Wicked Choccy's,94.7
382,Concord,North Carolina,Lot's O' Nuts,97.8
383,Lakewood,New Jersey,Lot's O' Nuts,115.1
384,Lakewood,New Jersey,Wicked Choccy's,115.1
385,Lakewood,New Jersey,The Other Factory,115.1
386,Skokie,Illinois,Lot's O' Nuts,94.7
387,Bowling Green,Ohio,Lot's O' Nuts,94.3
388,Denver,Colorado,Secret Factory,102.7
389,Gilbert,Arizona,Secret Factory,110.7
390,Gilbert,Arizona,Wicked Choccy's,110.7
391,New York City,New York,Sugar Shack,125.1
392,San Gabriel,California,Lot's O' Nuts,142.3
393,San Gabriel,California,Wicked Choccy's,142.3
394,Superior,Wisconsin,Wicked Choccy's,97.7
395,Costa Mesa,California,Secret Factory,142.3
396,Costa Mesa,California,Lot's O' Nuts,142.3
397,Altoona,Pennsylvania,Wicked Choccy's,97.2
398,Littleton,Colorado,Lot's O' Nuts,102.7
399,Frankfort,Illinois,Lot's O' Nuts,94.7
400,Clinton,Maryland,Lot's O' Nuts,115.4
401,Clinton,Maryland,Wicked Choccy's,115.4
402,Milford,Connecticut,Lot's O' Nuts,112.7
403,Newark,Ohio,Wicked Choccy's,94.3
404,Smyrna,Tennessee,Lot's O' Nuts,90.3
405,Smyrna,Tennessee,Wicked Choccy's,90.3
406,Oceanside,New York,Lot's O' Nuts,125.1
407,Oceanside,New York,Wicked Choccy's,125.1
408,Des Moines,Iowa,Wicked Choccy's,89.7
409,Milwaukee,Wisconsin,Secret Factory,97.7
410,Greensboro,North Carolina,Lot's O' Nuts,97.8
411,Greensboro,North Carolina,Secret Factory,97.8
412,Spokane,Washington,Lot's O' Nuts,114.1
413,Hampton,Virginia,Lot's O' Nuts,100.8
414,Skokie,Illinois,Wicked Choccy's,94.7
415,Rapid City,South Dakota,Wicked Choccy's,91.9
416,Port Arthur,Texas,Lot's O' Nuts,92.1
417,Warwick,Rhode Island,Lot's O' Nuts,110.6
418,Hoover,Alabama,Lot's O' Nuts,88.6
419,Lakewood,Ohio,Wicked Choccy's,94.3
420,Cleveland,Ohio,The Other Factory,94.3
421,Farmington,New Mexico,Lot's O' Nuts,93.7
422,Wilmington,Delaware,Lot's O' Nuts,101.9
423,Waco,Texas,Wicked Choccy's,92.1
424,Chattanooga,Tennessee,Wicked Choccy's,90.3
425,Chattanooga,Tennessee,Lot's O' Nuts,90.3
426,Bristol,Connecticut,The Other Factory,112.7
427,Cincinnati,Ohio,Secret Factory,94.3
428,Hamilton,Ohio,Wicked Choccy's,94.3
429,Cedar Hill,Texas,Lot's O' Nuts,92.1
430,East Orange,New Jersey,Wicked Choccy's,115.1
431,East Orange,New Jersey,Lot's O' Nuts,115.1
432,Waco,Texas,Lot's O' Nuts,92.1
433,Decatur,Alabama,Lot's O' Nuts,88.6
434,Lakewood,Ohio,Lot's O' Nuts,94.3
435,Newark,Delaware,Lot's O' Nuts,101.9
436,Cuyahoga Falls,Ohio,Lot's O' Nuts,94.3
437,Camarillo,California,Lot's O' Nuts,142.3
438,Camarillo,California,Wicked Choccy's,142.3
439,Franklin,Massachusetts,Wicked Choccy's,141.2
440,Burlington,Vermont,Secret Factory,113.6
441,Burlington,Vermont,Lot's O' Nuts,113.6
442,Burlington,Vermont,Wicked Choccy's,113.6
443,Southaven,Mississippi,Lot's O' Nuts,87.3
444,Southaven,Mississippi,Wicked Choccy's,87.3
445,Chapel Hill,North Carolina,Lot's O' Nuts,97.8
446,El Paso,Texas,Lot's O' Nuts,92.1
447,Owensboro,Kentucky,Lot's O' Nuts,92.5
448,La Porte,Indiana,Wicked Choccy's,91.0
449,La Porte,Indiana,Lot's O' Nuts,91.0
450,Westminster,California,Lot's O' Nuts,142.3
451,Fairfield,Connecticut,Wicked Choccy's,112.7
452,Fayetteville,North Carolina,Wicked Choccy's,97.8
453,Redmond,Washington,Wicked Choccy's,114.1
454,Lakewood,California,Wicked Choccy's,142.3
455,Moorhead,Minnesota,Wicked Choccy's,94.6
456,Plano,Texas,Wicked Choccy's,92.1
457,Durham,North Carolina,Lot's O' Nuts,97.8
458,Bloomington,Indiana,Lot's O' Nuts,91.0
459,Lubbock,Texas,Lot's O' Nuts,92.1
460,Lake Elsinore,California,Lot's O' Nuts,142.3
461,Wichita,Kansas,Lot's O' Nuts,88.8
462,Medford,Oregon,Lot's O' Nuts,111.8
463,Tyler,Texas,Lot's O' Nuts,92.1
464,Tyler,Texas,Wicked Choccy's,92.1
465,Moreno Valley,California,The Other Factory,142.3
466,Moreno Valley,California,Lot's O' Nuts,142.3
467,Moreno Valley,California,Wicked Choccy's,142.3
468,Shelton,Connecticut,Lot's O' Nuts,112.7
469,Shelton,Connecticut,Wicked Choccy's,112.7
470,Bristol,Tennessee,The Other Factory,90.3
471,Long Beach,New York,Wicked Choccy's,125.1
472,Allentown,Pennsylvania,Lot's O' Nuts,97.2
473,Hempstead,New York,Lot's O' Nuts,125.1
474,Hempstead,New York,Wicked Choccy's,125.1
475,Apopka,Florida,Lot's O' Nuts,102.2
476,Apopka,Florida,Wicked Choccy's,102.2
