order_id,product_id,location_id,sales,cost,gross_profit,units
1,1,1,7.5,2.6,4.9,2
2,2,2,7.2,2.2,5.0,2
3,3,3,7.2,2.4,4.8,2
4,4,4,9.75,3.42,6.33,3
5,4,1,6.5,2.28,4.22,2
6,2,5,3.6,1.1,2.5,1
7,5,5,10.47,3.0,7.47,3
8,3,5,25.2,8.4,16.8,7
9,4,6,9.75,3.42,6.33,3
10,5,7,10.47,3.0,7.47,3
11,5,7,6.98,2.0,4.98,2
12,4,8,16.25,5.7,10.55,5
13,4,9,9.75,3.42,6.33,3
14,1,10,7.5,2.6,4.9,2
15,5,11,10.47,3.0,7.47,3
16,2,12,7.2,2.2,5.0,2
17,5,13,20.94,6.0,14.94,6
18,1,14,7.5,2.6,4.9,2
19,5,15,6.98,2.0,4.98,2
20,2,15,3.6,1.1,2.5,1
21,4,16,6.5,2.28,4.22,2
22,1,16,18.75,6.5,12.25,5
23,5,3,3.49,1.0,2.49,1
24,1,4,11.25,3.9,7.35,3
25,5,3,6.98,2.0,4.98,2
26,1,17,7.5,2.6,4.9,2
27,1,18,11.25,3.9,7.35,3
28,2,19,3.6,1.1,2.5,1
29,5,19,27.92,8.0,19.92,8
30,5,19,3.49,1.0,2.49,1
31,3,19,10.8,3.6,7.2,3
32,2,20,14.4,4.4,10.0,4
33,2,20,10.8,3.3,7.5,3
34,1,21,7.5,2.6,4.9,2
35,5,20,10.47,3.0,7.47,3
36,1,22,11.25,3.9,7.35,3
37,3,23,18.0,6.0,12.0,5
38,1,24,11.25,3.9,7.35,3
39,4,24,9.75,3.42,6.33,3
40,3,25,7.2,2.4,4.8,2
41,4,26,9.75,3.42,6.33,3
42,3,27,18.0,6.0,12.0,5
43,3,27,10.8,3.6,7.2,3
44,3,27,14.4,4.8,9.6,4
45,3,2,18.0,6.0,12.0,5
46,4,1,16.25,5.7,10.55,5
47,3,2,7.2,2.4,4.8,2
48,5,2,13.96,4.0,9.96,4
49,1,28,11.25,3.9,7.35,3
50,2,29,10.8,3.3,7.5,3
51,4,28,19.5,6.84,12.66,6
52,1,28,15.0,5.2,9.8,4
53,5,30,6.98,2.0,4.98,2
54,3,31,7.2,2.4,4.8,2
55,5,32,3.49,1.0,2.49,1
56,3,32,10.8,3.6,7.2,3
57,4,33,6.5,2.28,4.22,2
58,5,27,6.98,2.0,4.98,2
59,4,34,6.5,2.28,4.22,2
60,4,35,6.5,2.28,4.22,2
61,1,35,7.5,2.6,4.9,2
62,2,36,14.4,4.4,10.0,4
63,5,37,10.47,3.0,7.47,3
64,2,3,3.6,1.1,2.5,1
65,3,3,14.4,4.8,9.6,4
66,5,3,6.98,2.0,4.98,2
67,5,3,13.96,4.0,9.96,4
68,1,4,3.75,1.3,2.45,1
69,2,38,3.6,1.1,2.5,1
70,5,39,13.96,4.0,9.96,4
71,6,40,3.75,1.8,1.95,3
72,1,41,3.75,1.3,2.45,1
73,1,41,37.5,13.0,24.5,10
74,1,42,7.5,2.6,4.9,2
75,3,32,25.2,8.4,16.8,7
76,4,42,9.75,3.42,6.33,3
77,5,43,10.47,3.0,7.47,3
78,3,43,3.6,1.2,2.4,1
79,2,44,18.0,5.5,12.5,5
80,2,44,10.8,3.3,7.5,3
81,4,45,32.5,11.4,21.1,10
