order_date,ship_date,city,state_province,division,region,product_name,sales,units,gross_profit,cost,factory,coli_index,product_id,location_id,factory_name
2021-03-31,2021-04-01,San Francisco,California,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,142.3,1,1,Wicked Choccy's
2021-03-31,2021-04-01,San Francisco,California,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,142.3,2,2,Lot's O' Nuts
2021-09-15,2021-09-16,New York City,New York,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,125.1,3,3,Lot's O' Nuts
2021-09-15,2021-09-16,New York City,New York,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,125.1,4,4,Wicked Choccy's
2022-10-04,2022-10-04,San Francisco,California,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,142.3,4,1,Wicked Choccy's
2023-03-03,2023-03-04,Round Rock,Texas,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,Lot's O' Nuts,92.1,2,5,Lot's O' Nuts
2023-03-03,2023-03-04,Round Rock,Texas,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,92.1,5,5,Lot's O' Nuts
2023-03-03,2023-03-04,Round Rock,Texas,Chocolate,Interior,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,Lot's O' Nuts,92.1,3,5,Lot's O' Nuts
2023-03-03,2023-03-04,Round Rock,Texas,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,92.1,4,6,Wicked Choccy's
2024-06-29,2024-06-30,Minneapolis,Minnesota,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,94.6,5,7,Lot's O' Nuts
2024-06-29,2024-06-30,Minneapolis,Minnesota,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,94.6,5,7,Lot's O' Nuts
2021-04-21,2021-04-21,Los Angeles,California,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,142.3,4,8,Wicked Choccy's
2021-10-24,2021-10-25,Rancho Cucamonga,California,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,142.3,4,9,Wicked Choccy's
2022-02-03,2022-02-03,Omaha,Nebraska,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,92.6,1,10,Wicked Choccy's
2022-02-03,2022-02-03,Omaha,Nebraska,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3.0,Lot's O' Nuts,92.6,5,11,Lot's O' Nuts
2022-05-08,2022-05-08,Salem,Oregon,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5.0,2.2,Lot's O' Nuts,111.8,2,12,Lot's O' Nuts
2022-11-13,2022-11-13,Lebanon,Tennessee,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6.0,Lot's O' Nuts,90.3,5,13,Lot's O' Nuts
2023-07-10,2023-07-12,Mesa,Arizona,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,110.7,1,14,Wicked Choccy's
2023-11-14,2023-11-14,Atlanta,Georgia,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2.0,Lot's O' Nuts,92.5,5,15,Lot's O' Nuts
